date,Q
1/1/70,0.422
1/2/70,0.426
1/3/70,0.421
1/4/70,0.398
1/5/70,0.389
1/6/70,0.395
1/7/70,0.364
1/8/70,0.379
1/9/70,0.593
1/10/70,0.775
1/11/70,1.02
1/12/70,0.74
1/13/70,0.63
1/14/70,0.988
1/15/70,0.74
1/16/70,0.708
1/17/70,0.628
1/18/70,0.657
1/19/70,0.633
1/20/70,0.628
1/21/70,0.645
1/22/70,0.784
1/23/70,1.55
1/24/70,1.18
1/25/70,0.937
1/26/70,0.99
1/27/70,0.82
1/28/70,0.786
1/29/70,0.856
1/30/70,1.28
1/31/70,0.916
2/1/70,0.883
2/2/70,0.941
2/3/70,0.879
2/4/70,0.851
2/5/70,0.797
2/6/70,0.756
2/7/70,0.776
2/8/70,0.781
2/9/70,0.805
2/10/70,0.729
2/11/70,0.706
2/12/70,0.813
2/13/70,0.749
2/14/70,0.708
2/15/70,0.667
2/16/70,0.673
2/17/70,0.879
2/18/70,0.907
2/19/70,1
2/20/70,0.975
2/21/70,1.04
2/22/70,1.04
2/23/70,0.982
2/24/70,0.856
2/25/70,0.806
2/26/70,0.761
2/27/70,0.748
2/28/70,0.731
3/1/70,0.733
3/2/70,0.737
3/3/70,0.7113
3/4/70,0.81
3/5/70,0.765
3/6/70,0.768
3/7/70,0.79
3/8/70,0.759
3/9/70,0.708
3/10/70,0.6983
3/11/70,0.978
3/12/70,0.997
3/13/70,0.859
3/14/70,0.798
3/15/70,0.7343
3/16/70,0.741
3/17/70,0.785
3/18/70,0.759
3/19/70,0.697
3/20/70,0.708
3/21/70,0.694
3/22/70,0.686
3/23/70,0.732
3/24/70,0.734
3/25/70,0.692
3/26/70,0.676
3/27/70,0.638
3/28/70,0.648
3/29/70,0.658
3/30/70,0.649
3/31/70,0.679
4/1/70,0.665
4/2/70,0.633
4/3/70,0.637
4/4/70,0.63
4/5/70,0.657
4/6/70,0.777
4/7/70,0.724
4/8/70,0.699
4/9/70,0.675
4/10/70,0.669
4/11/70,0.653
4/12/70,0.863
4/13/70,0.806
4/14/70,0.748
4/15/70,0.715
4/16/70,0.706
4/17/70,0.735
4/18/70,0.71
4/19/70,0.689
4/20/70,0.649
4/21/70,0.682
4/22/70,0.672
4/23/70,0.644
4/24/70,0.615
4/25/70,0.669
4/26/70,0.647
4/27/70,0.622
4/28/70,0.622
4/29/70,0.605
4/30/70,0.607
5/1/70,0.596
5/2/70,0.577
5/3/70,0.58
5/4/70,0.592
5/5/70,0.58
5/6/70,0.568
5/7/70,0.628
5/8/70,0.572
5/9/70,0.619
5/10/70,0.634
5/11/70,0.608
5/12/70,0.641
5/13/70,0.624
5/14/70,0.593
5/15/70,0.596
5/16/70,0.563
5/17/70,0.564
5/18/70,0.545
5/19/70,0.581
5/20/70,0.506
5/21/70,0.526
5/22/70,0.536
5/23/70,0.418
5/24/70,0.487
5/25/70,0.488
5/26/70,0.538
5/27/70,0.491
5/28/70,0.517
5/29/70,0.486
5/30/70,0.475
5/31/70,0.485
6/1/70,0.466
6/2/70,0.439
6/3/70,0.449
6/4/70,0.468
6/5/70,0.44
6/6/70,0.431
6/7/70,0.426
6/8/70,0.404
6/9/70,0.424
6/10/70,0.428
6/11/70,0.431
6/12/70,0.414
6/13/70,0.407
6/14/70,0.367
6/15/70,0.387
6/16/70,0.389
6/17/70,0.403
6/18/70,0.408
6/19/70,0.382
6/20/70,0.378
6/21/70,0.355
6/22/70,0.411
6/23/70,0.391
6/24/70,0.443
6/25/70,0.379
6/26/70,0.373
6/27/70,0.378
6/28/70,0.359
6/29/70,0.358
6/30/70,0.37
7/1/70,0.39
7/2/70,0.357
7/3/70,0.358
7/4/70,0.359
7/5/70,0.347
7/6/70,0.341
7/7/70,0.312
7/8/70,0.371
7/9/70,0.347
7/10/70,0.332
7/11/70,0.335
7/12/70,0.316
7/13/70,0.308
7/14/70,0.359
7/15/70,0.354
7/16/70,0.352
7/17/70,0.359
7/18/70,0.34
7/19/70,0.379
7/20/70,0.355
7/21/70,0.347
7/22/70,0.348
7/23/70,0.34
7/24/70,0.357
7/25/70,0.352
7/26/70,0.358
7/27/70,0.333
7/28/70,0.349
7/29/70,0.348
7/30/70,0.328
7/31/70,0.291
8/1/70,0.31
8/2/70,0.278
8/3/70,0.286
8/4/70,0.281
8/5/70,0.29
8/6/70,0.317
8/7/70,0.323
8/8/70,0.313
8/9/70,0.31
8/10/70,0.319
8/11/70,0.315
8/12/70,0.305
8/13/70,0.298
8/14/70,0.299
8/15/70,0.32
8/16/70,0.313
8/17/70,0.291
8/18/70,0.301
8/19/70,0.427
8/20/70,0.384
8/21/70,0.359
8/22/70,0.349
8/23/70,0.368
8/24/70,0.34
8/25/70,0.32
8/26/70,0.31
8/27/70,0.315
8/28/70,0.311
8/29/70,0.306
8/30/70,0.293
8/31/70,0.28
